,GDP_1,GDP_2,GDP_4,GDP_6,GDP_8,UNRATE_1,UNRATE_2,UNRATE_4,UNRATE_6,UNRATE_8,INFRATE_1,INFRATE_2,INFRATE_4,INFRATE_6,INFRATE_8,GS1_1,GS1_2,GS1_4,GS1_6,GS1_8,TSPREAD_1,TSPREAD_2,TSPREAD_4,TSPREAD_6,TSPREAD_8
3/1/1964,0.020863619,0.01369909,0.015075755,0.012407189,0.011956187,-0.1,-0.01665,-0.075,-0.016666667,-0.020825,0.00410476,0.003406339,0.003691032,0.003392963,0.003372356,3.83,3.83,3.83,3.83,3.83,0.7167,0.7167,0.7167,0.7167,0.7167
6/1/1964,0.010828209,0.015845914,0.01499312,0.013664689,0.012185196,-0.2667,-0.18335,-0.133325,-0.05555,-0.0416625,0.001615248,0.002860004,0.003630986,0.003259556,0.003104735,3.86,3.86,3.86,3.86,3.86,0.71,0.71,0.71,0.71,0.71
9/1/1964,0.015502227,0.013165218,0.013432154,0.014438909,0.012596696,-0.2,-0.23335,-0.125,-0.127783333,-0.0708375,0.002256973,0.001936111,0.002671225,0.003106059,0.00302875,3.77,3.77,3.77,3.77,3.77,0.7366,0.7366,0.7366,0.7366,0.7366
12/1/1964,0.003084168,0.009293197,0.012569556,0.013093146,0.012571816,-0.0333,-0.11665,-0.15,-0.127766667,-0.070825,0.00460452,0.003430747,0.003145375,0.003564239,0.003302354,3.93,3.93,3.93,3.93,3.93,0.5966,0.5966,0.5966,0.5966,0.5966
3/1/1965,0.023909529,0.013496849,0.013331033,0.013453719,0.014203394,-0.0667,-0.05,-0.141675,-0.1,-0.1083375,0.00309523,0.003849875,0.002892993,0.003064108,0.003292013,4.01,4.01,4.01,4.01,4.01,0.23,0.23,0.23,0.23,0.23
6/1/1965,0.012553584,0.018231556,0.013762377,0.014456889,0.014377748,-0.2333,-0.15,-0.133325,-0.15,-0.133325,0.006371477,0.004733353,0.00408205,0.003674701,0.003856518,4.02,4.02,4.02,4.02,4.02,0.13,0.13,0.13,0.13,0.13
9/1/1965,0.021989138,0.017271361,0.015384105,0.014644476,0.014408129,-0.3,-0.26665,-0.158325,-0.183333333,-0.1416625,0.002958465,0.004664971,0.004257423,0.003483652,0.003464324,4.08,4.08,4.08,4.08,4.08,0.1734,0.1734,0.1734,0.1734,0.1734
12/1/1965,0.02277901,0.022384074,0.020307815,0.016636276,0.016438685,-0.2667,-0.28335,-0.216675,-0.183333333,-0.1833375,0.005264225,0.004111345,0.004422349,0.004091815,0.003783862,4.46,4.46,4.46,4.46,4.46,0.3066,0.3066,0.3066,0.3066,0.3066
3/1/1966,0.024050767,0.023414888,0.020343125,0.018061033,0.016837079,-0.2333,-0.25,-0.258325,-0.188883333,-0.2,0.009301489,0.007282857,0.005973914,0.005265901,0.004433453,4.93,4.93,4.93,4.93,4.93,0.2133,0.2133,0.2133,0.2133,0.2133
6/1/1966,0.003410345,0.013730556,0.018057315,0.018115395,0.015909846,-0.0334,-0.13335,-0.20835,-0.1889,-0.1708375,0.009008594,0.009155041,0.006633193,0.005999913,0.005357622,4.93,4.93,4.93,4.93,4.93,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333
9/1/1966,0.00843339,0.005921867,0.014668378,0.015536039,0.015026241,-0.0666,-0.05,-0.15,-0.188883333,-0.1541625,0.008621619,0.008815107,0.008048982,0.006920978,0.006153202,5.51,5.51,5.51,5.51,5.51,-0.27,-0.27,-0.27,-0.27,-0.27
12/1/1966,0.008170255,0.008301822,0.011016189,0.014805484,0.015662002,-0.0667,-0.06665,-0.1,-0.161116667,-0.1583375,0.008140503,0.008381061,0.008768051,0.007215816,0.0065952,5.44,5.44,5.44,5.44,5.44,-0.56,-0.56,-0.56,-0.56,-0.56
3/1/1967,0.008816883,0.008493569,0.007207718,0.012610108,0.013775421,0.1333,0.0333,-0.00835,-0.0889,-0.1333375,0.002533031,0.005336767,0.007075937,0.00714491,0.006524925,4.6,4.6,4.6,4.6,4.6,-0.24,-0.24,-0.24,-0.24,-0.24
6/1/1967,0.000612522,0.004714703,0.006508262,0.008915694,0.012282789,0,0.06665,0,-0.04445,-0.104175,0.006048399,0.004290715,0.006335888,0.007275606,0.006484541,4.25,4.25,4.25,4.25,4.25,0.83,0.83,0.83,0.83,0.83
9/1/1967,0.009416848,0.005014685,0.006754127,0.006476707,0.010711253,-0.0333,-0.01665,0.008325,-0.011116667,-0.0708375,0.009999078,0.008023739,0.006680253,0.007391871,0.007364617,5.13,5.13,5.13,5.13,5.13,1.3534,1.3534,1.3534,1.3534,1.3534
12/1/1967,0.007511918,0.008464383,0.006589543,0.007160303,0.008802866,0.1,0.03335,0.05,0.011116667,-0.025,0.010886792,0.010442935,0.007366825,0.007704904,0.008067438,5.56,5.56,5.56,5.56,5.56,1.47,1.47,1.47,1.47,1.47
3/1/1968,0.020189739,0.013850828,0.009432757,0.009119694,0.008320238,-0.1667,-0.03335,-0.025,-0.005566667,-0.016675,0.009793413,0.010340103,0.009181921,0.007900203,0.008128929,5.47,5.47,5.47,5.47,5.47,0.8233,0.8233,0.8233,0.8233,0.8233
6/1/1968,0.016570048,0.018379893,0.013422138,0.01051966,0.0099652,-0.1666,-0.16665,-0.06665,-0.022216667,-0.033325,0.009698432,0.009745923,0.010094429,0.008159858,0.008215158,5.94,5.94,5.94,5.94,5.94,-0.2367,-0.2367,-0.2367,-0.2367,-0.2367
9/1/1968,0.007719847,0.012144948,0.012997888,0.01033682,0.009876008,-0.0334,-0.1,-0.066675,-0.05,-0.029175,0.013423986,0.011561209,0.010950656,0.009975017,0.008815454,5.51,5.51,5.51,5.51,5.51,-0.4833,-0.4833,-0.4833,-0.4833,-0.4833
12/1/1968,0.003925313,0.00582258,0.012101237,0.010888952,0.00934539,-0.1333,-0.08335,-0.125,-0.072216667,-0.0375,0.012303994,0.01286399,0.011304956,0.011017616,0.009335891,5.84,5.84,5.84,5.84,5.84,-0.1467,-0.1467,-0.1467,-0.1467,-0.1467
3/1/1969,0.01552986,0.009727587,0.010936267,0.011907788,0.010184512,0,-0.06665,-0.083325,-0.066666667,-0.0541625,0.012157232,0.012230613,0.011895911,0.011377308,0.010538916,6.36,6.36,6.36,6.36,6.36,-0.39,-0.39,-0.39,-0.39,-0.39
6/1/1969,0.003035462,0.009282661,0.007552621,0.011161712,0.010487379,0.0333,0.01665,-0.03335,-0.077783333,-0.05,0.015673903,0.013915568,0.013389779,0.01217516,0.011742104,6.57,6.57,6.57,6.57,6.57,-1.9734,-1.9734,-1.9734,-1.9734,-1.9734
9/1/1969,0.006583403,0.004809432,0.00726851,0.008893989,0.010133199,0.1334,0.08335,0.00835,-0.027766667,-0.0291625,0.013630392,0.014652147,0.01344138,0.012814657,0.012196018,7.65,7.65,7.65,7.65,7.65,-2.1266,-2.1266,-2.1266,-2.1266,-2.1266
12/1/1969,-0.004888783,0.00084731,0.005064986,0.005317517,0.008583111,0,0.0667,0.041675,0,-0.0416625,0.01522735,0.014428871,0.014172219,0.013736143,0.012738588,7.9,7.9,7.9,7.9,7.9,-1.6433,-1.6433,-1.6433,-1.6433,-1.6433
